,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,albany,95,US,1594941672,58,75.0,42.6,-73.97,1.01
1,mataura,16,NZ,1594941672,83,39.0,-46.19,168.86,3.0
2,praia da vitoria,75,PT,1594941672,82,68.0,38.73,-27.07,10.8
3,edea,75,CM,1594941672,100,75.2,3.8,10.13,3.36
4,airai,0,TL,1594941672,84,59.23,-8.93,125.41,2.91
5,nanortalik,30,GL,1594941672,58,50.22,60.14,-45.24,11.39
6,luwuk,14,ID,1594941487,78,77.5,-0.95,122.79,2.82
7,la baule-escoublac,69,FR,1594941672,88,62.6,47.29,-2.36,4.7
8,georgetown,40,MY,1594941390,100,77.0,5.41,100.34,2.24
9,cabo san lucas,20,MX,1594941478,58,87.01,22.89,-109.91,11.41
10,kapaa,20,US,1594941518,70,84.2,22.08,-159.32,9.17
11,eyl,91,SO,1594941673,60,81.5,7.98,49.82,28.16
12,hambantota,100,LK,1594941673,76,82.02,6.12,81.12,17.4
13,nikolskoye,82,RU,1594941673,76,57.2,59.7,30.79,4.47
14,avarua,2,CK,1594941673,64,75.2,-21.21,-159.78,9.17
15,rodez,89,FR,1594941673,82,60.8,44.5,2.58,9.17
16,dikson,85,RU,1594941674,93,40.87,73.51,80.55,5.21
17,namatanai,59,PG,1594941674,76,82.47,-3.67,152.43,4.52
18,ketchikan,90,US,1594941674,82,60.8,55.34,-131.65,8.05
19,rikitea,100,PF,1594941674,79,73.83,-23.12,-134.97,5.93
20,lasa,90,IT,1594941674,87,53.6,46.62,10.7,6.93
21,iqaluit,75,CA,1594941674,62,53.6,63.75,-68.51,5.82
22,souillac,75,MU,1594941674,83,69.8,-20.52,57.52,5.82
23,atuona,0,PF,1594941675,74,80.08,-9.8,-139.03,17.16
24,makakilo city,75,US,1594941611,66,89.6,21.35,-158.09,10.29
25,port elizabeth,17,ZA,1594941675,93,42.8,-33.92,25.57,4.7
26,dwarka,94,IN,1594941675,79,84.04,22.24,68.97,6.67
27,ushuaia,0,AR,1594941675,79,28.4,-54.8,-68.3,9.17
28,upington,0,ZA,1594941675,48,42.8,-28.45,21.26,5.82
29,tombouctou,72,ML,1594941675,34,93.63,20.0,-3.0,9.57
30,ilulissat,69,GL,1594941675,76,48.2,69.22,-51.1,4.7
31,hermanus,0,ZA,1594941676,85,48.0,-34.42,19.23,3.0
32,maniitsoq,8,GL,1594941676,83,46.53,65.42,-52.9,5.57
33,thompson,75,CA,1594941676,88,62.6,55.74,-97.86,8.05
34,hithadhoo,96,MV,1594941676,69,84.15,-0.6,73.08,5.91
35,jamestown,90,US,1594941676,83,75.2,42.1,-79.24,13.87
36,puerto carreno,40,CO,1594941676,78,80.6,6.19,-67.49,4.7
37,ribeira grande,88,PT,1594941676,80,69.13,38.52,-28.7,13.22
38,hilo,20,US,1594941611,66,84.2,19.73,-155.09,10.29
39,homa bay,100,KE,1594941676,73,64.96,-0.53,34.46,3.98
40,warrnambool,0,AU,1594941676,96,36.0,-38.38,142.48,3.0
41,narsaq,9,GL,1594941677,54,59.0,60.92,-46.05,3.36
42,new norfolk,6,AU,1594941677,90,39.0,-42.78,147.06,2.33
